outcome_name,audit_enabled,definition_status,source_kind,source_phenotype,index_date,horizon_years,washout_years,event_definition,existing_outcome_exclusion,censoring_rule,competing_event_rule,token_rule,clinical_comparator_status,notes
all_cause_mortality,1,resolved,death_table,,2018-01-01,5,2,first death.death_date,exclude death on or before index,last clinical activity or DB/horizon; death remains observable after last visit,not_applicable,all_dth_tokens,age_sex_utilization_ready; outcome_specific_variables_not_configured,death-date ETL concentration must be reviewed before selection
asthma,1,resolved,condition_group,asthma,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype; not a COPD substitute
atrial_fibrillation,1,resolved,condition_group,atrial_fibrillation,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
benign_prostatic_hyperplasia,1,resolved,condition_group,benign_prostatic_hyperplasia,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,validated Task19 phenotype
breast_cancer,1,resolved,condition_group,breast_cancer,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,site-specific cancer candidate
cataract,1,resolved,condition_group,cataract,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,detection-sensitive validated Task19 phenotype
chronic_hepatitis_b,1,resolved,condition_group,chronic_hepatitis_b,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,task20_marker_features_ready,validated Task19 phenotype
chronic_kidney_disease,1,resolved,condition_group,chronic_kidney_disease,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,task20_marker_features_ready,validated Task19 phenotype
colon_polyp,1,resolved,condition_group,colon_polyp,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,detection-sensitive validated Task19 phenotype
coronary_artery_disease,1,resolved,condition_group,coronary_artery_disease,2018-01-01,5,2,first condition date in reviewed Task19 group,exclude first date before index; index-day zero follow-up removed,last DX/RX/PX activity or DB/horizon,Aalen-Johansen with death competing event,dx_from_concept_map,age_sex_utilization_ready; outcome_specific_variables_not_configured,broad CAD definition; not an acute MI substitute
